period,year,month,index_value,is_provisional,series_id,series_name,source,source_url,data_retrieved_at
2024-02-01,2024,2,574.9,False,40010,מחירי דירות,CBS (Israeli Central Bureau of Statistics),https://api.cbs.gov.il/index/data/price?id=40010&format=json&download=false,2026-08-22 12:48:53.727585+00:00
2024-01-01,2024,1,569.2,False,40010,מחירי דירות,CBS (Israeli Central Bureau of Statistics),https://api.cbs.gov.il/index/data/price?id=40010&format=json&download=false,2026-08-22 12:48:53.727585+00:00
2023-12-01,2023,12,563.0,False,40010,מחירי דירות,CBS (Israeli Central Bureau of Statistics),https://api.cbs.gov.il/index/data/price?id=40010&format=json&download=false,2026-08-22 12:48:53.727585+00:00
2023-11-01,2023,11,558.0,False,40010,מחירי דירות,CBS (Israeli Central Bureau of Statistics),https://api.cbs.gov.il/index/data/price?id=40010&format=json&download=false,2026-08-22 12:48:53.727585+00:00
2023-10-01,2023,10,554.7,False,40010,מחירי דירות,CBS (Israeli Central Bureau of Statistics),https://api.cbs.gov.il/index/data/price?id=40010&format=json&download=false,2026-08-22 12:48:53.727585+00:00
2023-09-01,2023,9,557.5,False,40010,מחירי דירות,CBS (Israeli Central Bureau of Statistics),https://api.cbs.gov.il/index/data/price?id=40010&format=json&download=false,2026-08-22 12:48:53.727585+00:00
2023-08-01,2023,8,558.6,False,40010,מחירי דירות,CBS (Israeli Central Bureau of Statistics),https://api.cbs.gov.il/index/data/price?id=40010&format=json&download=false,2026-08-22 12:48:53.727585+00:00
2023-07-01,2023,7,559.2,False,40010,מחירי דירות,CBS (Israeli Central Bureau of Statistics),https://api.cbs.gov.il/index/data/price?id=40010&format=json&download=false,2026-08-22 12:48:53.727585+00:00
2023-06-01,2023,6,560.3,False,40010,מחירי דירות,CBS (Israeli Central Bureau of Statistics),https://api.cbs.gov.il/index/data/price?id=40010&format=json&download=false,2026-08-22 12:48:53.727585+00:00
2023-05-01,2023,5,561.4,False,40010,מחירי דירות,CBS (Israeli Central Bureau of Statistics),https://api.cbs.gov.il/index/data/price?id=40010&format=json&download=false,2026-08-22 12:48:53.727585+00:00
2023-04-01,2023,4,564.8,False,40010,מחירי דירות,CBS (Israeli Central Bureau of Statistics),https://api.cbs.gov.il/index/data/price?id=40010&format=json&download=false,2026-08-22 12:48:53.727585+00:00
